,Pais,Codigo,Periodo,Value,Indicador
0,Afghanistan,AFG,2017,0.25,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
1,Albania,ALB,2018,0.05,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
2,Angola,AGO,2015,0.3,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
3,Angola,AGO,2016,0.325,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
4,Angola,AGO,2017,0.375,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
5,Angola,AGO,2018,0.425,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
6,Argentina,ARG,2015,0,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
7,Argentina,ARG,2016,0,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
8,Argentina,ARG,2017,0,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
9,Argentina,ARG,2018,0.75,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
10,Armenia,ARM,2017,1,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
11,Australia,AUS,2015,0.2,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
12,Australia,AUS,2016,0.2,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
13,Australia,AUS,2017,0.2,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
14,Australia,AUS,2018,0.625,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
15,Barbados,BRB,2018,0.975,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
16,Bhutan,BTN,2017,0.7,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
17,Bhutan,BTN,2018,0.5,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
18,Botswana,BWA,2017,0.125,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
19,Botswana,BWA,2018,0.525,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
20,Bulgaria,BGR,2015,0.375,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
21,Bulgaria,BGR,2016,0.375,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
22,Bulgaria,BGR,2017,0.2,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
23,Bulgaria,BGR,2018,0.9,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
24,Burundi,BDI,2015,0.625,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
25,Burundi,BDI,2016,0.625,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
26,Burundi,BDI,2017,0.65,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
27,Chile,CHL,2015,0.5,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
28,Chile,CHL,2016,0.5,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
29,Chile,CHL,2017,0.4,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
30,Chile,CHL,2018,0.5,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
31,Colombia,COL,2015,0.65,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
32,Colombia,COL,2016,0.65,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
33,Colombia,COL,2017,0.65,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
34,Colombia,COL,2018,0.65,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
35,Comoros,COM,2017,0.325,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
36,Costa Rica,CRI,2015,0.85,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
37,Costa Rica,CRI,2016,0.925,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
38,Costa Rica,CRI,2017,0.925,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
39,Costa Rica,CRI,2018,0.925,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
40,Czechia,CZE,2015,0.875,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
41,Czechia,CZE,2016,0.9,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
42,Czechia,CZE,2017,0.925,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
43,Ecuador,ECU,2017,0,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
44,Ecuador,ECU,2018,0,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
45,Egypt,EGY,2016,0.45,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
46,Egypt,EGY,2017,0.675,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
47,Estonia,EST,2015,0.925,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
48,Estonia,EST,2016,0.925,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
49,Estonia,EST,2017,0.925,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
50,Estonia,EST,2018,0.925,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
51,Eswatini,SWZ,2015,0.25,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
52,Eswatini,SWZ,2016,0.5,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
53,Eswatini,SWZ,2017,0.525,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
54,Eswatini,SWZ,2018,0.525,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
55,Ethiopia,ETH,2018,0.875,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
56,Finland,FIN,2015,0.75,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
57,Finland,FIN,2016,0.75,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
58,Finland,FIN,2017,0.75,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
59,France,FRA,2015,0.6,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
60,France,FRA,2016,0.625,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
61,France,FRA,2017,0.65,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
62,Gambia,GMB,2017,0.275,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
63,Gambia,GMB,2018,0.375,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
64,Georgia,GEO,2016,0.825,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
65,Georgia,GEO,2017,0.975,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
66,Georgia,GEO,2018,0.975,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
67,Germany,DEU,2015,0.575,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
68,Germany,DEU,2016,0.575,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
69,Germany,DEU,2017,0.575,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
70,Germany,DEU,2018,0.575,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
71,Guatemala,GTM,2015,0.225,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
72,Guatemala,GTM,2016,0.4,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
73,Guatemala,GTM,2017,0.8,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
74,Iraq,IRQ,2018,0.85,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
75,Ireland,IRL,2015,0.425,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
76,Ireland,IRL,2016,0.425,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
77,Ireland,IRL,2017,0.4,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
78,Italy,ITA,2018,0.4,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
79,Japan,JPN,2015,0.8,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
80,Japan,JPN,2016,0.95,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
81,Japan,JPN,2017,1,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
82,Japan,JPN,2018,1,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
83,Jordan,JOR,2018,0,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
84,Kazakhstan,KAZ,2017,0.875,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
85,Kazakhstan,KAZ,2018,0.85,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
86,Kuwait,KWT,2015,0.5,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
87,Kuwait,KWT,2016,0.5,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
88,Kuwait,KWT,2017,0.5,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
89,Kyrgyzstan,KGZ,2015,0.525,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
90,Kyrgyzstan,KGZ,2016,0.625,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
91,Kyrgyzstan,KGZ,2017,0.825,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
92,Kyrgyzstan,KGZ,2018,0.925,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
93,Lebanon,LBN,2017,0,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
94,Lebanon,LBN,2018,0.225,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
95,Malawi,MWI,2015,0.85,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
96,Malawi,MWI,2016,0.825,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
97,Malawi,MWI,2017,0.825,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
98,Malawi,MWI,2018,0.85,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
99,Malaysia,MYS,2015,0.15,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
100,Malaysia,MYS,2016,0.2,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
101,Malaysia,MYS,2017,0.25,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
102,Malaysia,MYS,2018,0,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
103,Mexico,MEX,2015,0.9,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
104,Mexico,MEX,2016,0.9,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
105,Mexico,MEX,2017,0.9,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
106,Mexico,MEX,2018,0.925,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
107,Monaco,MCO,2017,0.6,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
108,Monaco,MCO,2018,0.6,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
109,Mongolia,MNG,2015,0,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
110,Mongolia,MNG,2016,0,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
111,Mongolia,MNG,2017,1,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
112,Montenegro,MNE,2018,0.775,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
113,Morocco,MAR,2018,0.675,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
114,Mozambique,MOZ,2017,0.675,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
115,Myanmar,MMR,2015,0.475,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
116,Myanmar,MMR,2016,0.55,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
117,Myanmar,MMR,2017,0.7,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
118,Namibia,NAM,2015,0.25,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
119,Namibia,NAM,2016,0.5,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
120,Namibia,NAM,2017,1,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
121,Nepal,NPL,2015,0.05,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
122,Nepal,NPL,2016,0.05,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
123,Nepal,NPL,2017,0.05,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
124,Nepal,NPL,2018,0.375,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
125,Netherlands,NLD,2017,0.9,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
126,New Zealand,NZL,2015,0.875,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
127,New Zealand,NZL,2016,0.875,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
128,New Zealand,NZL,2017,0.875,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
129,New Zealand,NZL,2018,0.875,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
130,Niger,NER,2015,0.25,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
131,Niger,NER,2016,0.25,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
132,Niger,NER,2017,0.25,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
133,Niger,NER,2018,0.325,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
134,Norway,NOR,2017,0.975,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
135,Palestine,PSE,2015,0.075,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
136,Palestine,PSE,2016,0.25,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
137,Palestine,PSE,2017,0.275,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
138,Paraguay,PRY,2018,0.6,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
139,Peru,PER,2017,0.75,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
140,Samoa,WSM,2017,0.575,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
141,Samoa,WSM,2018,0.7,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
142,Serbia,SRB,2017,0.675,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
143,Slovakia,SVK,2017,0.375,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
144,Slovenia,SVN,2015,0,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
145,Slovenia,SVN,2016,0,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
146,Slovenia,SVN,2017,0,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
147,Slovenia,SVN,2018,0.65,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
148,Somalia,SOM,2017,0.75,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
149,Somalia,SOM,2018,0.75,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
150,South Africa,ZAF,2015,0.425,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
151,South Africa,ZAF,2016,0.425,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
152,South Africa,ZAF,2017,0.525,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
153,South Korea,KOR,2015,0.95,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
154,South Korea,KOR,2016,0.95,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
155,South Korea,KOR,2017,0.95,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
156,Sudan,SDN,2018,0.2,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
157,Sweden,SWE,2015,0,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
158,Sweden,SWE,2016,0,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
159,Sweden,SWE,2017,0,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
160,Switzerland,CHE,2017,0.75,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
161,Tanzania,TZA,2015,0.5,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
162,Tanzania,TZA,2016,0.6,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
163,Tanzania,TZA,2017,0.6,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
164,Tanzania,TZA,2018,0.625,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
165,Thailand,THA,2015,0.6,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
